iter	Passed	Remaining
0	0	952
1	1	790
2	3	1158
3	4	1062
4	4	956
5	5	889
6	6	914
7	6	848
8	7	845
9	8	796
10	8	775
11	9	773
12	11	869
13	12	907
14	14	934
15	15	961
16	16	963
17	17	946
18	19	1026
19	20	1022
20	21	1006
21	22	997
22	22	971
23	23	971
24	24	968
25	25	959
26	27	975
27	28	973
28	29	988
29	30	998
30	32	1005
31	32	984
32	33	975
33	34	972
34	35	980
35	37	1013
36	39	1015
37	39	1006
38	40	1001
39	41	993
40	42	987
41	43	984
42	43	969
43	44	961
44	45	956
45	46	956
46	47	953
47	47	948
48	48	944
49	49	943
50	50	944
51	51	943
52	52	935
53	53	931
54	54	930
55	55	931
56	56	931
57	57	932
58	58	936
59	59	930
60	60	938
61	62	941
62	63	943
63	64	943
64	65	944
65	68	973
66	69	973
67	71	976
68	72	974
69	73	977
70	74	980
71	75	977
72	76	976
73	78	977
74	79	977
75	80	979
76	81	975
77	82	972
78	84	980
79	85	981
80	86	976
81	87	976
82	88	975
83	88	967
84	89	962
85	90	963
86	91	956
87	91	952
88	93	954
89	94	958
90	96	964
91	98	975
92	100	978
93	100	972
94	102	974
95	103	978
96	104	977
97	105	975
98	106	973
99	107	970
100	108	969
101	110	969
102	111	969
103	113	974
104	113	970
105	114	965
106	115	960
107	115	955
108	116	949
109	117	947
110	117	943
111	118	937
112	119	941
113	121	941
114	122	941
115	123	941
116	125	943
117	125	940
118	126	939
119	128	940
120	128	935
121	130	936
122	131	935
123	132	936
124	134	938
125	134	933
126	135	933
127	137	935
128	138	936
129	140	937
130	141	936
131	141	933
132	143	933
133	144	933
134	145	932
135	146	932
136	147	932
137	149	934
138	150	933
139	151	932
140	153	932
141	154	933
142	155	932
143	156	931
144	161	949
145	162	950
146	163	951
147	165	951
148	166	950
149	167	947
150	168	946
151	169	946
152	170	945
153	171	944
154	173	945
155	174	941
156	174	938
157	176	940
158	177	939
159	178	939
160	179	935
161	179	931
162	181	930
163	181	927
164	182	925
165	184	925
166	185	923
167	187	926
168	188	925
169	188	922
170	190	925
171	193	930
172	196	937
173	197	936
174	198	934
175	199	933
176	201	938
177	202	934
178	205	943
179	206	940
180	207	939
181	209	940
182	210	938
183	212	940
184	213	940
185	215	942
186	215	938
187	217	940
188	220	945
189	221	945
190	222	941
191	222	937
192	223	933
193	223	929
194	224	925
195	224	921
196	225	917
197	226	915
198	227	916
199	228	913
200	229	911
201	230	909
202	231	909
203	233	909
204	234	909
205	235	909
206	237	909
207	238	907
208	239	907
209	241	907
